aberration ,n.) a small periodical change of position in the stars and other heavenly bodies; due to the combined effect of the motion of light and the motion of the observer; called annual aberration; when the observer's motion is that of the earth in its orbit; and daily or diurnal aberration; when of the earth on its axis; amounting when greatest; in the former case; to 20.4''; and in the latter; to 0.3''. Planetary aberration is that due to the motion of light and the motion of the planet relative to the earth.
aberration ,n.) The act of wandering; deviation; especially from truth or moral rectitude; from the natural state; or from a type.
aberration ,n.) The convergence to different foci; by a lens or mirror; of rays of light emanating from one and the same point; or the deviation of such rays from a single focus; called spherical aberration; when due to the spherical form of the lens or mirror; such form giving different foci for central and marginal rays; and chromatic aberration; when due to different refrangibilities of the colored rays of the spectrum; those of each color having a distinct focus.
aberration ,n.) The passage of blood or other fluid into parts not appropriate for it.
aberration ,n.) The producing of an unintended effect by the glancing of an instrument; as when a shot intended for a glances and strikes b.
aberrational ,a.) characterized by aberration.
aberuncate ,v. t.) To weed out.
aberuncator ,n.) a weeding machine.
abet ,n.) act of abetting; aid.
abet ,v. t.) To contribute; as an assistant or instigator; to the commission of an offense.
abet ,v. t.) To instigate or encourage by aid or countenance; -- used in a bad sense of persons and acts; as; to abet an ill-doer; to abet one in his wicked courses; to abet vice; to abet an insurrection.
abet ,v. t.) To support; uphold; or aid; to maintain; -- in a good sense.
abetment ,n.) The act of abetting; as; an abetment of treason; crime; etc.
abettal ,n.) abetment.
abetted ,imp. & p. p.) of abet
abetter ,n.) alt. of abettor
abetting ,p. pr. & vb. n.) of abet
abettor ,n.) One who abets; an instigator of an offense or an offender.
abevacuation ,n.) a partial evacuation.
abeyance ,n.) expectancy; condition of being undetermined.
abeyance ,n.) Suspension; temporary suppression.
abeyancy ,n.) abeyance.
abeyant ,a.) being in a state of abeyance.
abhal ,n.) The berries of a species of cypress in the east Indies.
abhominable ,a.) abominable.
abhominal ,a.) Inhuman.
abhor ,v. i.) To shrink back with horror; disgust; or dislike; to be contrary or averse; -- with
abhor ,v. t.) To fill with horror or disgust.
abhor ,v. t.) To protest against; to reject solemnly.
abhor ,v. t.) To shrink back with shuddering from; to regard with horror or detestation; to feel excessive repugnance toward; to detest to extremity; to loathe.
abhorred ,imp. & p. p.) of abhor
abhorrence ,n.) extreme hatred or detestation; the feeling of utter dislike.
abhorrency ,n.) abhorrence.
abhorrent ,a.) abhorring; detesting; having or showing abhorrence; loathing; hence; strongly opposed to; as; abhorrent thoughts.
abhorrent ,a.) contrary or repugnant; discordant; inconsistent; -- followed by to.
abhorrent ,a.) detestable.
abhorrently ,adv.) With abhorrence.
abhorrer ,n.) One who abhors.
abhorrible ,a.) detestable.
abhorring ,n.) detestation.
abhorring ,n.) Object of abhorrence.
abhorring ,p. pr. & vb. n.) of abhor
abib ,n.) The first month of the Jewish ecclesiastical year; corresponding nearly to our april. after the babylonish captivity this month was called Nisan.
abid ,) of abide
abidance ,n.) The state of abiding; abode; continuance; compliance ,with).
abide ,v. i.) To remain stable or fixed in some state or condition; to continue; to remain.
abide ,v. i.) To stay; to continue in a place; to have one's abode; to dwell; to sojourn; -- with with before a person; and commonly with at or in before a place.
abide ,v. i.) To wait; to pause; to delay.
abide ,v. t.) To bear patiently; to tolerate; to put up with.
abide ,v. t.) To endure; to sustain; to submit to.
abide ,v. t.) To stand the consequences of; to answer for; to suffer for.
abide ,v. t.) To wait for; to be prepared for; to await; to watch for; as; I abide my time.
abider ,n.) One who abides; or continues.
abider ,n.) One who dwells; a resident.
abiding ,a.) continuing; lasting.
abiding ,p. pr. & vb. n.) of abide
abidingly ,adv.) Permanently.
abies ,n.) a genus of coniferous trees; properly called Fir; as the balsam fir and the silver fir. The spruces are sometimes also referred to this genus.
abietene ,n.) a volatile oil distilled from the resin or balsam of the nut pine ,Pinus sabiniana) of california.
abietic ,a.) Of or pertaining to the fir tree or its products; as; abietic acid; called also sylvic acid.
abietin ,n.) alt. of abietine
abietine ,n.) a resinous obtained from Strasburg turpentine or canada balsam. It is without taste or smell; is insoluble in water; but soluble in alcohol ,especially at the boiling point); in strong acetic acid; and in ether.
abietinic ,a.) Of or pertaining to abietin; as; abietinic acid.
abietite ,n.) a substance resembling mannite; found in the needles of the common silver fir of europe ,abies pectinata).
abigail ,n.) a lady's waiting-maid.
abode ,imp. & p. p.) of abide
babble ,n.) Idle talk; senseless prattle; gabble; twaddle.
babble ,n.) Inarticulate speech; constant or confused murmur.
babble ,v. i.) To disclose by too free talk; as a secret.
babble ,v. i.) To make a continuous murmuring noise; as shallow water running over stones.
babble ,v. i.) To talk incoherently; to utter unmeaning words.
babble ,v. i.) To talk much; to chatter; to prate.
babble ,v. i.) To utter in an indistinct or incoherent way; to repeat; as words; in a childish way without understanding.
babble ,v. i.) To utter words indistinctly or unintelligibly; to utter inarticulate sounds; as a child babbles.
babbled ,imp. & p. p.) of babble
babblement ,n.) babble.
babbler ,n.) a hound too noisy on finding a good scent.
babbler ,n.) a name given to any one of family ,Timalinae) of thrushlike birds; having a chattering note.
babbler ,n.) an idle talker; an irrational prater; a teller of secrets.
babblery ,n.) babble.
babbling ,p. pr. & vb. n.) of babble
babe ,n.) a doll for children.
babe ,n.) an infant; a young child of either sex; a baby.
babehood ,n.) babyhood.
babel ,n.) Hence: a place or scene of noise and confusion; a confused mixture of sounds; as of voices or languages.
babel ,n.) The city and tower in the land of Shinar; where the confusion of languages took place.
babery ,n.) Finery of a kind to please a child.
cabalistic ,a.) alt. of cabalistical
cabalistical ,a.) Of or pertaining to the cabala; containing or conveying an occult meaning; mystic.
cabalistically ,adv.) In a cabalistic manner.
cabalize ,v. i.) To use cabalistic language.
caballer ,n.) One who cabals.
caballine ,a.) Of or pertaining to a horse.
caballine ,n.) caballine aloes.
cabaret ,n.) a tavern; a house where liquors are retailed.
cabaret ,n.) a type of restaurant where liquor and dinner is served; and entertainment is provided; as by musicians; dancers; or comedians; and providing space for dancing by the patrons; -- similar to a nightclub. The term cabaret is often used in the names of such an establishment.
cabaret ,n.) the type of entertainment provided in a cabaret{2}.
cabas ,n.) a flat basket or frail for figs; etc.; hence; a lady's flat workbasket; reticule; or hand bag; -- often written caba.
cabassou ,n.) a species of armadillo of the genus Xenurus ,X. unicinctus and X. hispidus); the tatouay.
cabbage ,n.) an esculent vegetable of many varieties; derived from the wild brassica oleracea of europe. The common cabbage has a compact head of leaves. The cauliflower; brussels sprouts; etc.; are sometimes classed as cabbages.
cabbage ,n.) cloth or clippings cabbaged or purloined by one who cuts out garments.
cabbage ,n.) The cabbage palmetto. See below.
cabbage ,n.) The terminal bud of certain palm trees; used; like; cabbage; for food. See cabbage tree; below.
cabbage ,v. i.) To form a head like that the cabbage; as; to make lettuce cabbage.
cabbage ,v. i.) To purloin or embezzle; as the pieces of cloth remaining after cutting out a garment; to pilfer.
cabbaged ,imp. & p. p) of cabbage
cabbaging ,p. pr. & vb. n.) of cabbage
cabbiri ,n. pl.) certain deities originally worshiped with mystical rites by the Pelasgians in Lemnos and Samothrace and afterwards throughout Greece; -- also called sons of Hephaestus ,or Vulcan); as being masters of the art of working metals.
cabbler ,n.) One who works at cabbling.
cabbling ,n.) The process of breaking up the flat masses into which wrought iron is first hammered; in order that the pieces may be reheated and wrought into bar iron.
cabeca ,n.) alt. of cabesse
caber ,n.) a pole or beam used in Scottish games for tossing as a trial of strength.
cabesse ,n.) The finest kind of silk received from India.
cabezon ,n.) a california fish ,Hemilepidotus spinosus); allied to the sculpin.
cabiai ,n.) The capybara. See capybara.
cabin ,n.) a cottage or small house; a hut.
cabin ,n.) a room in ship for officers or passengers.
cabin ,n.) a small room; an inclosed place.
cabin ,v. i.) To live in; or as in; a cabin; to lodge.
cabin ,v. t.) To confine in; or as in; a cabin.
cabined ,imp. & p. p.) of cabin
cabinet ,a.) Suitable for a cabinet; small.
cabinet ,n.) a decorative piece of furniture; whether open like an etagere or closed with doors. See etagere.
cabinet ,n.) a hut; a cottage; a small house.
cabinet ,n.) a private room in which consultations are held.
cabinet ,n.) a set of drawers or a cupboard intended to contain articles of value. Hence:
cabinet ,n.) a small room; or retired apartment; a closet.
cabinet ,n.) any building or room set apart for the safe keeping and exhibition of works of art; etc.; also; the collection itself.
cabinet ,n.) The advisory council of the chief executive officer of a nation; a cabinet council.
cabinet ,v. i.) To inclose
cabineting ,p. pr. & vb. n.) of cabinet
cabinetmaker ,n.) One whose occupation is to make cabinets or other choice articles of household furniture; as tables; bedsteads; bureaus; etc.
cabinetmaking ,n.) The art or occupation of making the finer articles of household furniture.
cabinetwork ,n.) The art or occupation of working upon wooden furniture requiring nice workmanship; also; such furniture.
cabining ,p. pr. & vb. n.) of cabin
cabirean ,n.) One of the cabiri.
cabirian ,a.) Same as cabiric.
cabiric ,a.) Of or pertaining to the cabiri; or to their mystical worship.
cable ,n.) a large; strong rope or chain; of considerable length; used to retain a vessel at anchor; and for other purposes. It is made of hemp; of steel wire; or of iron links.
cable ,n.) a molding; shaft of a column; or any other member of convex; rounded section; made to resemble the spiral twist of a rope; -- called also cable molding.
cable ,n.) a rope of steel wire; or copper wire; usually covered with some protecting or insulating substance; as; the cable of a suspension bridge; a telegraphic cable.
cable ,v. t. & i.) To telegraph by a submarine cable
cable ,v. t.) To fasten with a cable.
cable ,v. t.) To ornament with cabling. See cabling.
cabled ,a.) adorned with cabling.
cabled ,a.) Fastened with; or attached to; a cable or rope.
cabled ,imp. & p. p.) of cable
cablegram ,n.) a message sent by a submarine telegraphic cable.
cablelaid ,a.) composed of three three-stranded ropes; or hawsers; twisted together to form a cable.
cablelaid ,a.) Twisted after the manner of a cable; as; a cable-laid gold chain.
cablet ,n.) a little cable less than ten inches in circumference.
cabling ,n.) The decoration of a fluted shaft of a column or of a pilaster with reeds; or rounded moldings; which seem to be laid in the hollows of the fluting. These are limited in length to about one third of the height of the shaft.
cabling ,p. pr. & vb. n.) of cable
cabman ,n.) The driver of a cab.
cabmen ,pl. ) of cabman
cabob ,n.) a leg of mutton roasted; stuffed with white herrings and sweet herbs.
cabob ,n.) a small piece of mutton or other meat roasted on a skewer; -- so called in Turkey and Persia.
cabob ,v. t.) To roast; as a cabob.
caboched ,a.) Showing the full face; but nothing of the neck; -- said of the head of a beast in armorial bearing.
caboodle ,n.) The whole collection; the entire quantity or number; -- usually in the phrase the whole caboodle.
caboose ,n.) a house on deck; where the cooking is done; -- commonly called the galley.
dabbled ,imp. & p. p.) of dabble
dabble ,v. t.) To wet by little dips or strokes; to spatter; to sprinkle; to moisten; to wet.
dabble ,v. i.) To play in water; as with the hands; to paddle or splash in mud or water.
dabble ,v. i.) To work in slight or superficial manner; to do in a small way; to tamper; to meddle.
dabbler ,n.) One who dabbles.
dabbler ,n.) One who dips slightly into anything; a superficial meddler.
dabblingly ,adv.) In a dabbling manner.
dabchick ,n.) A small water bird ,Podilymbus podiceps); allied to the grebes; remarkable for its quickness in diving; -- called also dapchick; dobchick; dipchick; didapper; dobber; devil-diver; hell-diver; and pied-billed grebe.
daboia ,n.) A large and highly venomous Asiatic viper ,daboia xanthica).
dabster ,n.) One who is skilled; a master of his business; a proficient; an adept.
dacapo ,) From the beginning; a direction to return to; and end with; the first strain; -- indicated by the letters d. C. Also; the strain so repeated.
dace ,n.) A small european cyprinoid fish ,Squalius leuciscus or Leuciscus vulgaris); -- called also dare.
dachshund ,n.) One of a breed of small dogs with short crooked legs; and long body; -- called also badger dog. There are two kinds; the rough-haired and the smooth-haired.
dacian ,a.) Of or pertaining to dacia or the dacians.
dacian ,n.) A native of ancient dacia.
dacoit ,n.) One of a class of robbers; in India; who act in gangs.
dacoity ,n.) The practice of gang robbery in India; robbery committed by dacoits.
dacotahs ,n. pl.) Same as dacotas.
dactyl ,n.) A poetical foot of three sylables ,-- ~ ~); one long followed by two short; or one accented followed by two unaccented; as; L. tegm/n/; e. mer\b6ciful; -- so called from the similarity of its arrangement to that of the joints of a finger.
dactyl ,n.) A finger or toe; a digit.
dactyl ,n.) The claw or terminal joint of a leg of an insect or crustacean.
dactylar ,a.) Pertaining to dactyl; dactylic.
dactylar ,a.) Of or pertaining to a finger or toe; or to the claw of an insect crustacean.
dactylet ,n.) A dactyl.
dactylic ,a.) Pertaining to; consisting chiefly or wholly of; dactyls; as; dactylic verses.
dactylic ,n.) A line consisting chiefly or wholly of dactyls; as; these lines are dactylics.
dactylic ,n.) dactylic meters.
dactylioglyph ,n.) An engraver of gems for rings and other ornaments.
dactylioglyph ,n.) The inscription of the engraver's name on a finger ring or gem.
dactylioglyphi ,n.) The art or process of gem engraving.
dactyliography ,n.) The art of writing or engraving upon gems.
dactyliography ,n.) In general; the literature or history of the art.
dactyliology ,n.) That branch of archaeology which has to do with gem engraving.
dactyliology ,n.) That branch of archaeology which has to do with finger rings.
dactyliomancy ,n.) divination by means of finger rings.
dactylist ,n.) A writer of dactylic verse.
dactylitis ,n.) An inflammatory affection of the fingers.
dactylology ,n.) The art of communicating ideas by certain movements and positions of the fingers; -- a method of conversing practiced by the deaf and dumb.
dactylomancy ,n.) dactyliomancy.
dactylonomy ,n.) The art of numbering or counting by the fingers.
dactylopterous ,a.) Having the inferior rays of the pectoral fins partially or entirely free; as in the gurnards.
dactylotheca ,n.) The scaly covering of the toes; as in birds.
dactylozooid ,n.) A kind of zooid of Siphonophora which has an elongated or even vermiform body; with one tentacle; but no mouth. See Siphonophora.
dad ,n.) Father; -- a word sometimes used by children.
daddled ,imp. & p. p.) of dadle
daddling ,p. pr. & vb. n.) of dadle
dadle ,v. i.) To toddle; to walk unsteadily; like a child or an old man; hence; to do anything slowly or feebly.
daddock ,n.) The rotten body of a tree.
daddy ,n.) diminutive of dad.
daddy longlegs ,) An arachnidan of the genus Phalangium; and allied genera; having a small body and four pairs of long legs; -- called also harvestman; carter; and grandfather longlegs.
daddy longlegs ,) A name applied to many species of dipterous insects of the genus Tipula; and allied genera; with slender bodies; and very long; slender legs; the crane fly; -- called also father longlegs.
dade ,v. t.) To hold up by leading strings or by the hand; as a child while he toddles.
dade ,v. i.) To walk unsteadily; as a child in leading strings; or just learning to walk; to move slowly.
dadoes ,pl. ) of dado
dado ,n.) That part of a pedestal included between the base and the cornice ,or surbase); the die. See Illust. of Column.
dado ,n.) In any wall; that part of the basement included between the base and the base course. See Base course; under Base.
dado ,n.) In interior decoration; the lower part of the wall of an apartment when adorned with moldings; or otherwise specially decorated.
daedal ,a.) Alt. of daedalian
daedalian ,a.) Cunningly or ingeniously formed or working; skillful; artistic; ingenious.
daedalian ,a.) Crafty; deceitful.
daedalous ,a.) Having a variously cut or incised margin; -- said of leaves.
daemon ,a.) Alt. of daemonic
daemonic ,a.) See demon; demonic.
daff ,v. t.) To cast aside; to put off; to doff.
daff ,n.) A stupid; blockish fellow; a numskull.
daff ,v. i.) To act foolishly; to be foolish or sportive; to toy.
daff ,v. t.) To daunt.
daffodil ,n.) A plant of the genus Asphodelus.
eagle-eyed ,a.) Sharp-sighted as an eagle.
eagle-sighted ,a.) Farsighted and strong-sighted; sharp-sighted.
eagless ,n.) A female or hen eagle.
eaglestone ,n.) A concretionary nodule of clay ironstone; of the size of a walnut or larger; so called by the ancients; who believed that the eagle transported these stones to her nest to facilitate the laying of her eggs; aetites.
eaglet ,n.) A young eagle; or a diminutive eagle.
eagle-winged ,a.) Having the wings of an eagle; swift; or soaring high; like an eagle.
eaglewood ,n.) A kind of fragrant wood. See Agallochum.
eagrass ,n.) See eddish.
eagre ,n.) A wave; or two or three successive waves; of great height and violence; at flood tide moving up an estuary or river; -- commonly called the bore. See Bore.
ealderman ,n.) Alt. of ealdorman
ealdorman ,n.) An alderman.
eale ,n.) Ale.
eame ,n.) Uncle.
ean ,v. t. & i.) To bring forth; as young; to yean.
eanling ,n.) A lamb just brought forth; a yeanling.
ear ,n.) The organ of hearing; the external ear.
ear ,n.) The sense of hearing; the perception of sounds; the power of discriminating between different tones; as; a nice ear for music; -- in the singular only.
ear ,n.) That which resembles in shape or position the ear of an animal; any prominence or projection on an object; -- usually one for support or attachment; a lug; a handle; as; the ears of a tub; a skillet; or dish. The ears of a boat are outside kneepieces near the bow. See Illust. of Bell.
ear ,n.) Same as Acroterium.
ear ,n.) Same as Crossette.
ear ,n.) Privilege of being kindly heard; favor; attention.
eared ,imp. & p. p.) of ear
earing ,p. pr. & vb. n.) of ear
ear ,v. t.) To take in with the ears; to hear.
ear ,n.) The spike or head of any cereal ,as; wheat; rye; barley; Indian corn; etc.); containing the kernels.
